"id","feature","datatype","relative_importance"
1,"adres_dagen_op_adres","int",23.3291411974047
2,"adres_aantal_verschillende_wijken","int",1.86420364919682
3,"adres_recentst_onderdeel_rdam","int",1.40390557390138
4,"adres_unieke_wijk_ratio","float",1.08605203075762
5,"adres_aantal_brp_adres","int",6.3707922210249
6,"adres_aantal_verzendadres","int",4.67963848458908
7,"adres_aantal_woonadres_handmatig","int",2.38551409019807
8,"adres_recentste_plaats_other","int",0
9,"adres_recentste_plaats_rotterdam","int",0.558473039949707
10,"adres_recentste_buurt_groot_ijsselmonde","int",3.69234624081815
11,"adres_recentste_buurt_nieuwe_westen","int",0
12,"adres_recentste_buurt_other","int",2.35395779637824
13,"adres_recentste_buurt_oude_noorden","int",0
14,"adres_recentste_buurt_vreewijk","int",0.462877001160021
15,"adres_recentste_wijk_charlois","int",1.09252962067599
16,"adres_recentste_wijk_delfshaven","int",1.37830382988484
17,"adres_recentste_wijk_feijenoord","int",2.3855676598968
18,"adres_recentste_wijk_ijsselmonde","int",0.0911419054959052
19,"adres_recentste_wijk_kralingen_c","int",0.281590185450663
20,"adres_recentste_wijk_noord","int",1.01174489993243
21,"adres_recentste_wijk_other","int",0.90174698383864
22,"adres_recentste_wijk_prins_alexa","int",1.3207768325327
23,"adres_recentste_wijk_stadscentru","int",0.0878762830888463
24,"contacten_soort_anders","int",2.40452937682749
25,"contacten_soort_document__inkomend_","int",6.78759195256936
26,"contacten_soort_document__uitgaand_","int",4.43345518953577
27,"contacten_soort_e_mail__inkomend_","int",2.04930081359587
28,"contacten_soort_e_mail__uitgaand_","int",1.59617937666932
29,"contacten_soort_gesprek_op_locatie","int",3.25900951588976
30,"contacten_soort_groepsbijeenkomsten","int",0.47082815527805
31,"contacten_soort_rapportage_deelname","int",0.683637657878786
32,"contacten_soort_rapportage_rib","int",0.98073261234539
33,"contacten_soort_telefoontje__inkomend_","int",2.49529342842201
34,"contacten_soort_telefoontje__uitgaand_","int",2.27452161586159
35,"contacten_soort_afgelopenjaar_anders","int",4.01628366882986
36,"contacten_soort_afgelopenjaar_document__inkomend_","int",1.07457307440419
37,"contacten_soort_afgelopenjaar_document__uitgaand_","int",15.4138352665776
38,"contacten_soort_afgelopenjaar_e_mail__inkomend_","int",1.3279859384209
39,"contacten_soort_afgelopenjaar_e_mail__uitgaand_","int",2.55393091918976
40,"contacten_soort_afgelopenjaar_gesprek","int",2.13112094501856
41,"contacten_soort_afgelopenjaar_gesprek_op_locatie","int",0.355184622481322
42,"contacten_soort_afgelopenjaar_rapportage_rib","int",0.352139071694932
43,"contacten_soort_afgelopenjaar_telefoontje__inkomend_","int",1.45947081947078
44,"contacten_soort_afgelopenjaar_telefoontje__uitgaand_","int",1.27467543693231
45,"contacten_onderwerp__arbeids_motivatie","int",0.589437994025291
46,"contacten_onderwerp__pre__intake","int",0
47,"contacten_onderwerp__werk_intake","int",4.09044190272019
48,"contacten_onderwerp_arbeidsdiagnose_dariuz","int",0.333851409835342
49,"contacten_onderwerp_beoordelen_taaleis","int",1.60878388300451
50,"contacten_onderwerp_contact_derden","int",0.515668813507211
51,"contacten_onderwerp_contact_met_aanbieder","int",0.738372790813334
52,"contacten_onderwerp_diagnosegesprek","int",0.421704852451703
53,"contacten_onderwerp_documenten__innemen_","int",1.5841733073931
54,"contacten_onderwerp_documenttype__cv_","int",0.466359170932837
55,"contacten_onderwerp_documenttype__overeenkomst_","int",6.41352712243202
56,"contacten_onderwerp_financiële_situatie","int",3.31982681587371
57,"contacten_onderwerp_groepsbijeenkomst","int",0.88199144816368
58,"contacten_onderwerp_inkomen","int",5.28773371512715
59,"contacten_onderwerp_inname_aanvraag","int",0
60,"contacten_onderwerp_inspanningstoets","int",1.78032095915512
61,"contacten_onderwerp_maatregel_overweging","int",2.68218140100262
62,"contacten_onderwerp_matching","int",1.01542801251782
63,"contacten_onderwerp_mutatie","int",1.29009103943796
64,"contacten_onderwerp_no_show","int",27.8748015353454
65,"contacten_onderwerp_overige","int",3.49066301271841
66,"contacten_onderwerp_overleg_met_inkomen","int",24.101367423066
67,"contacten_onderwerp_quickscan","int",0.697729100679534
68,"contacten_onderwerp_scholing","int",0.572939298281392
69,"contacten_onderwerp_screening","int",0.410628086467904
70,"contacten_onderwerp_terugbelverzoek","int",1.75223163297022
71,"contacten_onderwerp_traject","int",1.59307801672321
72,"contacten_onderwerp_uitnodiging","int",1.10528192328339
73,"contacten_onderwerp_vakantie","int",0.0867354108555106
74,"contacten_onderwerp_werkintake__niet_verschenen","int",0.296434634054702
75,"contacten_onderwerp_ziek__of_afmelding","int",0.52029780182458
76,"contacten_onderwerp_zorg","int",1.64420367321448
77,"contacten_onderwerp_boolean__arbeids_motivatie","int",0
78,"contacten_onderwerp_boolean__pre__intake","int",0
79,"contacten_onderwerp_boolean__werk_intake","int",0
80,"contacten_onderwerp_boolean_beoordelen_taaleis","int",0
81,"contacten_onderwerp_boolean_contact_derden","int",0
82,"contacten_onderwerp_boolean_contact_met_aanbieder","int",0
83,"contacten_onderwerp_boolean_diagnosegesprek","int",0
84,"contacten_onderwerp_boolean_documenten__innemen_","int",0
85,"contacten_onderwerp_boolean_documenttype__cv_","int",0
86,"contacten_onderwerp_boolean_documenttype__diploma_s_en_certificaten_","int",0.704829989530361
87,"contacten_onderwerp_boolean_documenttype__overeenkomst_","int",0
88,"contacten_onderwerp_boolean_financiële_situatie","int",0
89,"contacten_onderwerp_boolean_groepsbijeenkomst","int",0
90,"contacten_onderwerp_boolean_inkomen","int",0
91,"contacten_onderwerp_boolean_maatregel_overweging","int",0
92,"contacten_onderwerp_boolean_match___werk","int",0.102769682873582
93,"contacten_onderwerp_boolean_matching","int",0
94,"contacten_onderwerp_boolean_motivatie","int",0.529114934593644
95,"contacten_onderwerp_boolean_mutatie","int",0
96,"contacten_onderwerp_boolean_no_show","int",0
97,"contacten_onderwerp_boolean_overige","int",0
98,"contacten_onderwerp_boolean_overleg_met_inkomen","int",0
99,"contacten_onderwerp_boolean_scholing","int",0
100,"contacten_onderwerp_boolean_sollicitatie","int",0
101,"contacten_onderwerp_boolean_taaleis___voldoet","int",0
102,"contacten_onderwerp_boolean_terugbelverzoek","int",0
103,"contacten_onderwerp_boolean_traject","int",0
104,"contacten_onderwerp_boolean_uitnodiging","int",0
105,"contacten_onderwerp_boolean_ziek__of_afmelding","int",0
106,"contacten_onderwerp_boolean_zorg","int",0
107,"beschikbaarheid_huidig_bekend","int",0.0815609035059432
108,"beschikbaarheid_huidig_afwijkend_wegens_medische_omstandigheden","int",0.296643702967606
109,"beschikbaarheid_recent_afwijkend_wegens_medische_omstandigheden","int",0.368000763518875
110,"beschikbaarheid_recent_afwijkend_wegens_sociaal_maatschappelijke_situatie","int",0.0823258371716011
111,"beschikbaarheid_aantal_historie_afwijkend_wegens_medische_omstandigheden","int",8.14777911778804
112,"beschikbaarheid_aantal_historie_afwijkend_wegens_sociaal_maatschappelijke_situatie","int",0.0975084340239088
113,"relatie_partner_aantal_partner___partner__gehuwd_","int",0.100737398212232
114,"relatie_partner_aantal_partner___partner__ongehuwd_","int",0.454260785151815
115,"relatie_partner_huidige_partner___partner__gehuwd_","int",1.10108936267979
116,"relatie_partner_totaal_dagen_partner","int",12.4424840459725
117,"pla_einde_doelstelling_bereikt","int",0.544149881465516
118,"pla_einde_doelstelling_bereikt__nieuw_trajectplan","int",2.55792965184284
119,"pla_einde_doelstelling_bereikt__overdracht","int",0.103391533148625
120,"pla_einde_doelstelling_niet_bereikt","int",0.508273534322644
121,"pla_einde_doelstelling_niet_bereikt__nieuw_trajectplan","int",1.16756067239928
122,"pla_einde_doelstelling_niet_bereikt__overdracht","int",0
123,"pla_einde_geplande_einddatum_overschreden_zonder_nader_bericht","int",0.279941788775817
124,"pla_einde_other","int",0.261284026482788
125,"pla_einde_uitstroom_anders_dan_volgen_onderwijs__regulier_werk_of_als_zelfstandige","int",4.66268673527886
126,"pla_actueel_pla_categorie_doelstelling_16","int",0.138401462118461
127,"pla_actueel_pla_categorie_doelstelling_9","int",0.481296749160181
128,"pla_hist_pla_categorie_doelstelling_1","int",0.606763074713904
129,"pla_hist_pla_categorie_doelstelling_10","int",0.716874349092612
130,"pla_hist_pla_categorie_doelstelling_11","int",0.574558070052562
